brand_key,sector
aston martin,AL10 9
aston martin,B90 4
aston martin,B92 0
aston martin,BS10 7
aston martin,BT12 6
aston martin,CM14 5
aston martin,EH12 6
aston martin,GL51 9
aston martin,JE3 7
aston martin,KT12 1
aston martin,LS12 6
aston martin,MK16 9
aston martin,NE28 9
aston martin,NG7 2
aston martin,PO19 8
aston martin,RG8 7
aston martin,SK9 5
aston martin,TN13 2
aston martin,TN2 3
aston martin,W1K 7
aston martin,W3 0
bentley,AL10 9
bentley,B24 9
bentley,BS10 7
bentley,BT12 6
bentley,CM2 6
bentley,CM6 2
bentley,EH15 3
bentley,EN5 5
bentley,GU23 6
bentley,HP11 1
bentley,IM4 2
bentley,JE3 7
bentley,LE7
bentley,LE7 1
bentley,LS12 6
bentley,ML3 0
bentley,NE28 9
bentley,SO43 7
bentley,TN2 3
bentley,W1J 6
bentley,WA16 8
ferrari,AL10 9
ferrari,B90 4
ferrari,BT12 6
ferrari,CO4 9
ferrari,EH15 3
ferrari,EX2 8
ferrari,LS12 6
ferrari,NE28 9
ferrari,NG7 2
ferrari,PA4 0
ferrari,SK9 3
ferrari,SN5 8
ferrari,SO43 7
ferrari,SW7 3
ferrari,TN13 1
ferrari,TW20 0
ferrari,W1J 6
lamborghini,AL10 9
lamborghini,B24 9
lamborghini,BS10 7
lamborghini,CM2 6
lamborghini,EH15 3
lamborghini,LE7
lamborghini,LE7 1
lamborghini,LS9 0
lamborghini,RG8 7
lamborghini,SK1 4
lamborghini,SW7 3
lamborghini,TN2 3
lamborghini,W1J 6
mclaren,AL10 9
mclaren,B94 5
mclaren,KT24 6
mclaren,LS9 0
mclaren,ML3 0
mclaren,RG12 2
mclaren,RG12 9
mclaren,SK9 3
mclaren,SL5 9
mclaren,SO43 7
rolls-royce,B94 5
rolls-royce,CM6 2
rolls-royce,EH12 6
rolls-royce,LS12 6
rolls-royce,SK9 3
rolls-royce,SL5 0
rolls-royce,W1J 8
